fileName	sampleID	read	Alistipes	Rikenella	Bacteroides	Parabacteroides	Odoribacter	Barnesiella	Porphyromonas	Butyricimonas	Tannerella	Prevotella	Paraprevotella	Alloprevotella	Hallella	Phocaeicola	Capnocytophaga	Soonwooa	Flavobacterium	Elizabethkingia	Chryseobacterium	Sediminicola	Riemerella	Pedobacter	Sphingobacterium	Nubsella	Sediminibacterium	Filimonas	Hydrotalea	Flavitalea	Fontibacter	Hymenobacter	Dyadobacter	Lachnospiracea_incertae_sedis	Robinsoniella	Roseburia	Clostridium XlVa	Cellulosilyticum	Anaerostipes	Blautia	Johnsonella	Ruminococcus2	Hespellia	Lachnoanaerobaculum	Coprococcus	Dorea	Catonella	Syntrophococcus	Clostridium XlVb	Lactonifactor	Howardella	Oribacterium	Pseudobutyrivibrio	Lachnospira	Lachnobacterium	Parasporobacterium	Marvinbryantia	Butyrivibrio	Acetitomaculum	Clostridium sensu stricto	Sarcina	Anaerobacter	Proteiniclasticum	Clostridium XI	Peptostreptococcus	Acetoanaerobium	Peptostreptococcaceae_incertae_sedis	Flavonifractor	Anaerofilum	Butyricicoccus	Anaerotruncus	Pseudoflavonifractor	Clostridium IV	Oscillibacter	Ruminococcus	Faecalibacterium	Subdoligranulum	Gemmiger	Hydrogenoanaerobacterium	Eubacterium	Acetobacterium	Pseudoramibacter	Anaerofustis	Parvimonas	Tissierella	Finegoldia	Peptococcus	Anaerovorax	Mogibacterium	Defluviitalea	Streptococcus	Lactococcus	Enterococcus	Pilibacter	Melissococcus	Granulicatella	Alkalibacterium	Lactobacillus	Aerococcus	Abiotrophia	Facklamia	Gemella	Paenibacillus	Cohnella	Brevibacillus	Fontibacillus	Staphylococcus	Bacillus	Sporosarcina	Jeotgalibacillus	Exiguobacterium	Erysipelotrichaceae_incertae_sedis	Coprobacillus	Clostridium XVIII	Holdemania	Turicibacter	Allobaculum	Solobacterium	Erysipelothrix	Bulleidia	Selenomonas	Dialister	Veillonella	Allisonella	Megasphaera	Anaeroglobus	Megamonas	Schwartzia	Centipeda	Acidaminococcus	Succinispira	Phascolarctobacterium	Akkermansia	Luteolibacter	Prosthecobacter	Eggerthella	Asaccharobacter	Adlercreutzia	Paraeggerthella	Collinsella	Atopobium	Enterorhabdus	Olsenella	Corynebacterium	Rhodococcus	Williamsia	Actinomyces	Micrococcus	Rothia	Arthrobacter	Kocuria	Zhihengliuella	Microbacterium	Agromyces	Curtobacterium	Leucobacter	Leifsonia	Herbiconiux	Brevibacterium	Kytococcus	Yimella	Janibacter	Brachybacterium	Propionibacterium	Tessaracoccus	Friedmanniella	Propioniferax	Propionimicrobium	Nocardioides	Modestobacter	Bifidobacterium	Scardovia	Patulibacter	Nitriliruptor	Treponema	Fusobacterium	Clostridium XIX	Leptotrichia	Campylobacter	Arcobacter	Aggregatibacter	Haemophilus	Actinobacillus	Escherichia/Shigella	Klebsiella	Citrobacter	Enterobacter	Yersinia	Serratia	Obesumbacterium	Providencia	Morganella	Kluyvera	Hafnia	Salmonella	Leclercia	Pantoea	Pluralibacter	Raoultella	Trabulsiella	Shimwellia	Halomonas	Cobetia	Modicisalibacter	Nitrincola	Cardiobacterium	Pseudomonas	Cellvibrio	Azorhizophilus	Acinetobacter	Psychrobacter	Enhydrobacter	Vibrio	Salinivibrio	Stenotrophomonas	Candidatus Carsonella	Aliidiomarina	Shewanella	Rheinheimera	Aeromonas	Diplorickettsia	Kingella	Uruburuella	Eikenella	Neisseria	Microvirgula	Aquitalea	Ralstonia	Cupriavidus	Limnobacter	Burkholderia	Janthinobacterium	Herbaspirillum	Massilia	Herminiimonas	Rugamonas	Undibacterium	Duganella	Curvibacter	Pelomonas	Schlegelella	Comamonas	Delftia	Hydrogenophaga	Ottowia	Rhodoferax	Macromonas	Lampropedia	Variovorax	Simplicispira	Limnohabitans	Acidovorax	Alicycliphilus	Kinneretia	Tepidicella	Sutterella	Parasutterella	Mitsuaria	Aquabacterium	Tepidimonas	Achromobacter	Alcaligenes	Methylobacillus	Bilophila	Bdellovibrio	Peredibacter	Bacteriovorax	Myxococcus	Pyxidicoccus	Desulfobulbus	Sphingomonas	Sphingopyxis	Sphingobium	Blastomonas	Novosphingobium	Stakelama	Sandaracinobacter	Sphingosinicella	Methylobacterium	Mesorhizobium	Aquamicrobium	Hoeflea	Bosea	Bradyrhizobium	Rhodopseudomonas	Oligotropha	Devosia	Hyphomicrobium	Ochrobactrum	Pseudochrobactrum	Rhizobium	Beijerinckia	Vasilyevaea	Caulobacter	Brevundimonas	Phenylobacterium	Asticcacaulis	Azospirillum	Skermanella	Roseomonas	Streptophyta	Gp5	Blastocatella	Cloacibacillus	Pyramidobacter	Mycoplasma	Saccharibacteria_genera_incertae_sedis	Deinococcus	Fervidobacterium	SR1_genera_incertae_sedis	Parcubacteria_genera_incertae_sedis	Aquisphaera	Microgenomates_genera_incertae_sedis	Victivallis	Pyrolobus
100_R1.fasta	100	1	793	0	7538	4843	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2463	611	20	805	904	200	17	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4631	1	0	0	1129	0	0	0	251	8	7	4	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	1827	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1146	348	775	184	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2803	0	0	21	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100_R2.fasta	100	2	782	0	7097	4810	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	209	33	189	2089	1	7177	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	2414	0	794	0	0	0	249	5	12	4	32	2	0	0	0	0	0	0	0	66	22	0	0	0	0	0	0	0	0	1342	0	290	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	347	766	187	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2806	0	0	21	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101_R1.fasta	101	1	975	0	6553	6313	24	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2846	550	21	1021	892	429	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1934	0	0	0	1411	0	0	0	205	7	2	14	0	0	0	0	0	0	0	0	81	0	0	0	1	0	0	0	0	0	0	2880	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	292	989	195	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3329	0	0	35	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101_R2.fasta	101	2	948	0	6221	6268	25	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	35	0	247	39	400	1811	0	8564	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	180	0	767	0	1032	0	0	0	204	2	5	13	57	1	0	0	0	0	0	0	0	23	7	0	1	0	0	0	0	0	0	2142	0	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442	285	976	191	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3345	0	0	31	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102_R1.fasta	102	1	740	0	9760	6619	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	544	0	1954	1	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1932	0	0	0	314	3	0	29	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	313	0	1007	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1230	1135	2988	37	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3171	0	0	55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102_R2.fasta	102	2	734	0	9220	6584	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	492	1	312	7199	0	204	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1402	0	0	0	310	0	1	27	6	0	0	0	0	0	0	0	0	44	11	0	0	0	0	0	0	0	0	228	0	524	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	662	1136	2953	37	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3180	0	0	50	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103_R1.fasta	103	1	1130	0	12873	4488	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3008	793	1	988	0	578	5	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	1048	0	0	0	673	14	0	92	0	6	55	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	5721	0	90	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	725	308	1285	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4543	0	0	44	0	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	1	0	0	887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103_R2.fasta	103	2	1100	0	12153	4449	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	276	0	544	2352	0	3262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	702	0	0	0	660	3	0	92	0	5	0	1	0	0	0	0	0	99	17	0	0	0	0	0	0	0	0	4386	0	43	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	413	297	1240	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4560	0	0	42	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	0	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104_R1.fasta	104	1	416	0	17640	3168	0	839	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1455	795	2	1015	0	335	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	764	0	0	0	722	5	0	7	0	4	27	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	5579	0	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	640	424	1143	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3700	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104_R2.fasta	104	2	405	0	16643	3116	0	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	232	0	316	2610	0	2121	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549	0	0	0	710	1	0	7	0	3	0	0	0	0	0	0	0	111	20	0	0	0	0	0	0	0	0	4161	0	690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	416	1109	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3724	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
